id,category,question,answer,contexts,faithfulness,answer_relevancy
1,Communication & Interaction,What is the 10-second rule for autism and how should teachers use it?,"The 10-second rule refers to a strategy used by some individuals with autism to help manage sensory overload or anxiety. When faced with an overwhelming situation, they may need time to process and prepare before responding. Staff can use this concept by providing a brief pause of around 10 seconds before expecting a pupil with autism to respond to a question or instruction.","[""autistic children and young people in mainstream education.\nConsistent with NICE guidance, the evidence supports a collaborative, multidisciplinary\napproach to identification, incorporating input from teachers, families, and the young\nperson. While some tools can be used by educators to screen for potential needs,\nparticularly in areas such as participation, communication, and emotional wellbeing,\nmany require specialist interpretation and have limited validation for use in classrooms.\nMainstream teachers play a critical early role in recognising potential signs of autism and\ncontributing essential observational insights. However, the variability in tool quality and\nthe lack of comparative research between specialist- and teacher-led use underscores\nthe need for cautious application and further empirical study. Digital tools and structured\nbehavioural observation methods offer promise, particularly for broader access and early\n\nEvidence supports the effectiveness of adapted phonological interventions for\nindividuals using augmentative and alternative communication\n43\nSupport and intervention summary\nOur review identified a total of 69 systematic reviews dedicated to the support and\nintervention strategies that mainstream educators can use to support educational\noutcomes for autistic children and young people.\nHigh-quality teaching for autistic children and young people should promote an inclusive\nclassroom with structured instructional strategies and visual supports. There are a range\nof instructional strategies shown to be effective for children and young people with\nautism. Approaches such as Discrete Trial Training (DTT), Direct Instruction, and Explicit\nInstruction are effective in developing academic and functional skills by breaking tasks\ninto manageable steps, using clear prompts, and providing positive reinforcement.\n\nwith all, and focus on getting back on track/\nUse a fresh start principle to encourage a warm\ntask completion\nwelcome to each new session every day\nStaff are vigilant to perceived injustice and\nCheck use of voice, gesture and body language\nclearly explain how matters will be addressed\nConsistently implement an agreed positive\nand resolved\nbehaviour support plan (sometimes called a\nSeating plans and classroom layout adjusted to\npositive relationship plan) Positive Behaviour\nmeet sensory, attention, social and emotional\nSupport plan\nneeds, e.g. are they better placed near to the\nEnsure enhanced transition planning into\nteacher, which peers should they sit with?\nschool or the next setting is supported and\nInterspersing of non-preferred and preferred\nimplemented\ntasks\nFor children with autism use Oxfordshire's\nUse buddies and peer mentors for support and\nSCERTs in Action - a framework that supports\nmodelling\nassessment and planning for children with\nautism. SCERTS = social communication""]",0.3333333333333333,0.8345575189851413
2,Communication & Interaction,How can I use social narratives to help an autistic child understand playground rules?,"Staff may create a visual social narrative that outlines specific playground rules and expectations for the autistic child, such as taking turns on equipment or staying within designated play areas. This can be done in collaboration with the child to ensure it is tailored to their needs and understanding. It's essential to review and update the narrative regularly to reflect changes in playground rules or routines.","[""teaching assistant use.\nEffective oral narrative support strategies summary\nNarrative interventions are generally effective particularly when they are delivered\none-to-one but can also be scalable\nSyntax interventions also have a growing evidence base\n40\nSocial communication support\nChildren with different speech, language, and communication needs may also struggle\nwith social communication skills. Interventions targeting social communication skills\ntypically aim at addressing turn-taking, listening, conversational strategies, pragmatics,\nand emotion recognition, amongst other skills. However, much of the research\ninvestigating social communication have focussed on autistic children and young people\nwith limited evidence for children who are not autistic.\nCarroll et al.'s (2017) rapid evidence assessment reviews a number of social\ncommunication interventions. They review evidence that suggests that interventions\n\nA range of inclusive instructional strategies and classroom design approaches can\nsupport autistic children and young people at this first tier. The approaches identified in\nour REA include instructional techniques and adjustments to the physical or social\nenvironment.\nInstructional strategies\nEducators of autistic students can employ a range of evidence-based teaching and\ninstructional strategies that support learning across subjects. Many of these approaches\nshare common principles: they provide structure, break tasks into manageable steps, use\n30\nclear prompts or cues, explicit instruction, and praise and reward. For instance, Discrete\nTrial Training (DTT) is a well-established structured approach (Curiel et al., 2020). In\nDTT, a skill (academic or functional) is broken down into small sub-skills which are taught\nin repeated trials with prompts and rewards for correct responses.\nResponse prompting strategies where support is provided to encourage correct\n\nyoung people with language and processing needs and physical disabilities, as well as\nthose with high needs (e.g., children who are non-verbal and/or with social, emotional\nand mental health needs).\nUSS had improved some diarists' knowledge of how autistic children and young people\nprocess social cues and respond to the emotional reactions of others. For example, a\ndiarist in a support role described how the nasen Online CPD Unit on Speech, Language\nand Communication Needs assisted in building a stronger relationship with a student.\nUSS has helped me support a child with autism. They can exhibit\nchallenging behaviour, when they struggle to communicate with others\nand they get frustrated and lash out. The child really likes crafting\nactivities, so we made emotion cards. We spent around half an hour on\nthis, although lots of time was spent chatting, which gave me a chance to\nget to know more about their interests, to tailor future sessions. Diarist -\nSupport staff, Primary setting""]",1.0,0.6939857358837346
3,Communication & Interaction,What are the best classroom seating arrangements for students with high social anxiety?,"Staff may consider arranging seating to minimize visual distractions and promote a sense of control. This can be achieved by placing students in a quiet area or at the back of the classroom, away from windows and potential sources of noise. Additionally, providing a designated 'safe space' for students to work independently can also help alleviate anxiety.","['effective when led by teachers, especially in secondary settings.\nTargeted approaches for classroom behaviour and general attainment summary\nMulti-component interventions including study and organisation skills with social or\nbehavioural support such as self-monitoring or social skills training\nDaily report cards\nExam support for children and young people with ADHD\nStudents with SEMH needs may be eligible to receive exam access arrangements (JCQ,\n2024). Common exam access arrangements for students with different types of SEND\nare 25%-50% extra time to complete an exam, a reader (human or pen reader), prompts,\nor small-group/individual invigilation. Although the assessment and application process\nfor access arrangements is typically managed by the SENCo or an access arrangements\ncoordinator, teachers play a crucial role in identifying students who may require support\nand in implementing access arrangements as part of everyday classroom practice (e.g.,\n\nand in implementing access arrangements as part of everyday classroom practice (e.g.,\nAntalek et al., 2025). Thus, it can be useful to understand which access arrangements\nwork for different types of needs, and how they might be best implemented. One\nsystematic review (Lovett & Nelson, 2021) examined the available evidence on the\neffectiveness of commonly used accommodations for children and young people with\nADHD.\nOverall, findings demonstrate that there is not one single universal accommodation that\nworks for all children and young people with ADHD, and an accommodation does not\nguarantee a better exam outcome. In their review, Lovett and Nelson (2021) found that\nextra time accommodations may have weak evidence of effectiveness, because it does\nnot consistently improve performance for students with ADHD more than for their peers\n43\nwithout ADHD. However, having a human reader for the test or exam questions has\n\n2017). Predictable routines, accessible resources, and well organised learning spaces\nsupport focus and reduce anxiety. Visual supports such as word walls, visual timetables,\nand learning goals help students anticipate tasks and maintain engagement. For students\n41\nwith sensory processing differences, such as those with autism, ADHD, or hearing loss,\nclassrooms can often be noisy and overstimulating, making it difficult to concentrate or\nself-regulate (Mansfield and Soni, 2024; Todorov et al., 2022). Simple environmental\nmodifications, including soft furnishings, acoustic adjustments, and reduction of visual\nclutter, can significantly improve learning conditions (Archbold, 2010; Swanwick and\nMarschark, 2010).\nThe MATCH framework (Missiuna, 2004) offers a useful guide for inclusive adaptations:\nmodifying the task, altering expectations, teaching specific strategies, changing the\nenvironment, and helping through understanding. These principles reinforce the']",1.0,0.5155844635852859
4,Communication & Interaction,How do you differentiate whole-class instruction for a non-verbal student using PECS?,"Staff may use visual supports such as pictures or symbols to accompany verbal instructions during whole-class PE lessons. The PECS (Picture Communication Symbols) system can be used to create a visual schedule of activities and provide choices for the non-verbal student, allowing them to participate in decision-making processes. This approach should be tailored to the individual's communication needs and preferences.","[""These techniques include explicit instruction, peer-assisted learning, scaffolding, the use\nof mnemonics (especially for learning key facts), task-sequencing, and metacognitive\napproaches.\nResearch indicates that whole-class high-quality phonics instruction benefits children with\nor at risk of literacy difficulties when it is systematic, explicit, and delivered by trained\nteachers (Castles et al., 2018). Previous meta-analyses (e.g., Ehri et al., 2001; National\nReading Panel, 2000) show that systematic phonics improves decoding and word\nreading for all children, with particularly strong effects for struggling readers when\n37\ninstruction includes ample practice, scaffolded feedback, and opportunities to apply skills\nin connected text. One systematic review included in our REA by Alqurani and Rao\n(2020) analysed single-subject design studies of reading interventions for children aged 6\nto 15 and found that sight-word recognition could be improved through a two-part phonics\n\nPedagogical approaches for pupils with special\neducational needs and/or disabilities\nThe general principles from research into effective teaching outlined in this\nreview are just as relevant for pupils with special educational needs and/or\ndisabilities (SEND), whether learning English or any other subject.\nResearch shows that pupils with SEND do not generally benefit from\ndifferentiated teaching, activities or resources to achieve a curriculum goal.\n[footnote 227]\nDifferentiation is not the same as targeted teaching to break\nhttps://www.gov.uk/government/publications/curicuum-research-review-series-english/curriculum-research-review-series-english\n36/81\n4/11/26, 4:05 PM\nResearch review series: English - GOV.UK\ndown or reinforce aspects of the curriculum, for example repetition of\nimportant phonic knowledge.\nTeachers may attribute weaknesses in reading to a pupil having dyslexia\nrather than having gaps in their phonic knowledge. This can also lead to\n\nto 15 and found that sight-word recognition could be improved through a two-part phonics\ninstruction sequence using direct instruction approach, sight words with connected text,\nand direct instruction flashcards system. These studies also focused on supporting\nphonological awareness, phonics, and vocabulary as part of instruction.\nVocabulary can also be supported at the whole-class level through effective instructional\napproaches. One systematic review (Kuder, 2017) compared several different instruction\nmethods to support vocabulary for children aged 11 to 18 and found that the most\neffective methods were mnemonic instruction, morphemic analysis strategies, direct\ninstruction, and multimedia instruction. Peer-mediated approaches also showed positive\neffects, though their impact couldn't be isolated from the instructional methods used.\nExplicit vocabulary instruction can also improve comprehension of content-specific""]",0.75,0.6742801171076906
5,Communication & Interaction,What are the indicators of 'masking' in autistic girls in a secondary school setting?,"Staff may look out for indicators such as exceptional social skills and ability to mimic neurotypical peers, which can mask underlying difficulties with social communication. Additionally, autistic girls in secondary school may exhibit high levels of anxiety or stress related to social interactions, which can be misinterpreted as shyness rather than a need for support. It is essential to note that masking can vary across individuals and contexts, so staff should remain vigilant and not make assumptions based on initial observations.","[""other studies report equal rates of prevalence between males and females (Matheis et\nal., 2019). This suggests that autistic girls may be under-recognised. While the reasons\nfor this are not clear, a few reasons for this have been proposed including genetic and\nneurobiological differences (Jacquemont et al., 2014), bias in diagnostic criteria (e.g.,\ndiagnostic criteria may be based more on male presentations) (Lai et al., 2015), and the\npossible higher prevalence of camouflaging or masking of autistic traits in females (Hull\net al., 2020).\nAs a result, the diagnostic process often follows a two-step approach. First, there is some\n'surveillance' or ongoing monitoring of behaviours followed by a more formal screening\nprocess using standardised tools to identify children who may be at risk. Second, if\nconcerns remain after screening, a more in-depth assessment is carried out using\ndiagnostic tools that are more detailed and often require input from a multidisciplinary\n\neducation staff working together in schools to assess children suspected to be autistic.\nEarly findings from the pilot are positive, with children being identified and getting support\nearlier. As part of this work, we are monitoring indicators of prevalence of autism in girls as\ncurrent assessment and diagnostic approaches identify a higher proportion of boys than\ngirls as autistic. We want to test whether novel approaches can improve identification and\nwill include this within our evaluation of the programme.\nTo monitor our progress on reducing waiting times, we will continue to collect and improve\ndata on autism diagnosis waiting times and identify areas that are not meeting the NICE-\nrecommended 13 weeks between referral and assessment (Autism waiting times statistics,\nNHS Digital). In addition, we are developing an action plan with NHSE/I and NHS Digital to\nenable us to report on diagnostic waiting times for children and young people. Current data\n\nthings literally, and not understanding abstract concepts. Social communication\ndifficulties are often early indicators of autism. For example, difficulties in joint attention\n(i.e., the ability to show interest or share a focus of attention and follow gaze) is generally\na strong indicator of autism. There may be inappropriate responses or misinterpretations\nin communication and a limited use of social smiles or gestures. The second criteria are\nrestrictive and repetitive patterns of behaviour (e.g., such as repetitive movements or\nspeech, insistence on sameness, intense fixated interests, or unusual responses to\nsensory input).\nThe profile of autism is highly heterogeneous, with the type and severity of needs varying\nconsiderably between individuals. For example, some autistic children and young people\nmay have difficulties with verbal communication, while others may have good oral\ncommunication and language skills, but poor social communication. Further, many\n8""]",1.0,0.8103746463438583
6,Communication & Interaction,How can I reduce the sensory load of a school assembly for a child with SLCN?,"To reduce the sensory load of a school assembly for a child with Speech, Language and Communication Needs (SLCN), staff may consider seating the pupil in a quieter area away from loudspeakers or at the back of the hall to minimize distractions. The school can also provide ear defenders or headphones for the pupil to wear during assemblies, allowing them to focus on the speaker without being overwhelmed by background noise. This approach should be discussed with the pupil's parents and SENCo to ensure it meets their individual needs.","[""(Snowling et al., 2011) and can enhance learning (Mercer et al., 2009).\nOne approach that promotes effective communication especially in the early years\n(reception through year 2) is the Communication Supporting Classrooms Observation\nTool (CSCOT) from the Better Communication Research Programme (Lindsay et al.,\n2012). The CSCOT is an audit tool designed to document the language and\ncommunication opportunities afforded by the learning environment. This tool consists of\n33\nseveral checklists to help educators consider the quality and quantity of the language\nlearning environment, learning opportunities, and interactions.\nSimilar to instructional approaches, reducing the load of sensory information and\nprocessing demands is helpful for children and young people with SLCN (Carroll et al.,\n2017). Classrooms and school environments can be highly stimulating and overwhelming\nfor pupils with different types of SEND including SLCN. For example, in a randomised\n\nfor pupils with different types of SEND including SLCN. For example, in a randomised\ncontrolled trial, Dockrell and Sheild (2006) found that speed of processing for children\nand young people with SEND can be negatively impacted by background babble and\nexternal noises such as sirens or lorries. Therefore, minimising background noise and\neven considering acoustic panelling can help support learning.\nConsiderations for supportive classroom environments summary\nFostering a rich oral language environment\nCSCOT audit tool to help identify areas of classroom or early years setting\nimprovement\nMinimising cognitive load\nReducing background noise where possible\nCollaborative practices\nIf an outside referral to speech and language has been made, the question of who is\nresponsible in the classroom for supporting the learners' needs with SLCN (Vivash et al.,\n2018) may arise. The evidence base is heavily comprised of studies focusing on\n\nthe physical or social environment.\nInstructional approaches\nAcademic difficulties among children and young people with SLCN needs may stem from\nunderlying challenges with language, but also from executive functions, including\nattention, working memory, planning, and organisation (for a review of executive\nfunctions see our Cross-Cutting Themes Report). For example, tasks that require flexible\nthinking, cognitive control, or adapting to changing rules or instructions, especially under\ndemanding or complex task conditions can be challenging for children and young people\nwith SLCN. These difficulties may underlie both academic and behavioural challenges.\nGiven the challenges children and young people with SLCN may have with executive\nfunctions, it is important to use instructional strategies that support more cognitively\ndemanding learning tasks and reduce cognitive load.\nTechniques that provide structure, break tasks into manageable steps, use clear""]",0.8,0.7598790031205379
7,Communication & Interaction,What strategies help an autistic student manage changes in the school timetable?,"Staff may use visual timetables and schedules to help the autistic student understand and prepare for changes in the school timetable. Providing a daily or weekly routine chart can also support the student's ability to anticipate and adapt to changes, reducing anxiety and stress. It is essential to involve the student in creating and reviewing their own timetables and routines to ensure they are tailored to their individual needs.","['A range of inclusive instructional strategies and classroom design approaches can\nsupport autistic children and young people at this first tier. The approaches identified in\nour REA include instructional techniques and adjustments to the physical or social\nenvironment.\nInstructional strategies\nEducators of autistic students can employ a range of evidence-based teaching and\ninstructional strategies that support learning across subjects. Many of these approaches\nshare common principles: they provide structure, break tasks into manageable steps, use\n30\nclear prompts or cues, explicit instruction, and praise and reward. For instance, Discrete\nTrial Training (DTT) is a well-established structured approach (Curiel et al., 2020). In\nDTT, a skill (academic or functional) is broken down into small sub-skills which are taught\nin repeated trials with prompts and rewards for correct responses.\nResponse prompting strategies where support is provided to encourage correct\n\nEvidence supports the effectiveness of adapted phonological interventions for\nindividuals using augmentative and alternative communication\n43\nSupport and intervention summary\nOur review identified a total of 69 systematic reviews dedicated to the support and\nintervention strategies that mainstream educators can use to support educational\noutcomes for autistic children and young people.\nHigh-quality teaching for autistic children and young people should promote an inclusive\nclassroom with structured instructional strategies and visual supports. There are a range\nof instructional strategies shown to be effective for children and young people with\nautism. Approaches such as Discrete Trial Training (DTT), Direct Instruction, and Explicit\nInstruction are effective in developing academic and functional skills by breaking tasks\ninto manageable steps, using clear prompts, and providing positive reinforcement.\n\ninterfere with concentration. They may also struggle with multi-step instructions and find\ntransitions between tasks particularly difficult (Wild & Steeley, 2018).\nAutistic individuals often have differences in attention, exploring interests and how they\nlearn; this can include being very focused on particular interests or topics. Flexibility and\ntransitions can be difficult, so by providing routines and structure, they often feel safer\nand more comfortable as this lessens uncertainty (Autism Education Trust, 2025).\nTargeted support for autistic children and young people\nImproving academic outcomes for autistic students often requires explicit, individualised\nstrategies. In this section we review several findings that address targeted support\ntechniques for autistic children and young people. Although many of these approaches\nare targeted to the individual needs of the students, many can also be implemented in']",1.0,0.8654017876766024
8,Communication & Interaction,How do I support a student who interprets metaphors and idioms literally?,"When supporting a student who interprets metaphors and idioms literally, staff may provide additional explanations of figurative language in lessons to help them understand the intended meaning. The school can also consider providing extra support or accommodations during assessments to ensure the student's responses are not penalized for literal interpretations. This approach should be tailored to the individual student's needs and learning style.","['about the unfamiliar nature of the task and it is\nearly on. Failure to correct these could lead to\noften possible to support the student by saying\nthese misconceptions enduring and hampering\nsomething like, ""Copy out that table, and I\'ll be\nlater understanding SO teachers may opt to\nback in five minutes to help you fill it in."" This\nintervene earlier.\nis usually all the support the student needs.\nCopying out the table forces the student to look\nin detail at how the table is laid out and this\nbusy-work can provide time for the student to\nmake sense of the task itself\'. 45\nen\nF\nThese suggestions offer a prompt of what to\nGiven the ambiguity in the\nconsider when thinking about when to give feedback.\nGiven the ambiguity in the evidence, they serve to\nevidence, the timing of feedback\nunderline the crucial importance of in-the-moment\nshould be left to the careful\nteacher judgement-a key component of a teacher\'s\nprofessional skill-over policies that predetermine\njudgement of the classroom\n\nreading a range of texts aloud to the class, explicitly teaching and modelling the reading\ncomprehension strategies that support children to make inferences, for example, clarifying the\nvocabulary which indicates the setting: ""I\'m not sure what a pier is, I\'m going to annotate that and check"";\nworking to support vocabulary acquisition, both in terms of depth and breadth\n(see Recommendation 1, Figure 3: Ensuring breadth and depth of vocabulary teaching);\nworking with parents to support how they read with children at home, for example, running an online\ninformation session about the questions you might ask when reading with children; and\nplanning targeted support for pupils who are particularly struggling. Whilst class teaching is the most\nimportant lever Mr Latif has, he also recognises the importance of small group tuition. Having identified\npupils who are particularly struggling with inferencing using the assessment, Mr Latif and the class\'s\n\nand its forms over time. Alternatively, a thematic approach might be chosen\nthat weaves the threads of metaphor, story, argument, pattern, grammar\nand context as enablers of disciplinary considerations for pupils learning\nliterature. Didau does not argue for any one of the models above but\nsuggests that coherent text choices will allow pupils to appreciate past\nliterature.\nStudying complex and whole texts\nStudying one substantial complex text can do a lot of curricular \'heavy\nlifting\'. It can support pupils to develop and use knowledge across the\ncategories detailed in this section. A text like this might use a complex\nnarrative viewpoint to tell a story, and explore multiple or sophisticated\nthemes. It might also contain allusions, cultural references and intertextual\nlinks.\nIn some circumstances, carefully chosen extracts from literary texts can\nhave a purpose in the curriculum. However, there is research that suggests']",1.0,0.0
9,Communication & Interaction,What is the impact of 'pebbling' on social bonding for neurodivergent pupils?,"Staff may find that 'pebbling', a strategy where small groups of peers are encouraged to engage with and support an individual pupil, can have a positive impact on social bonding for neurodivergent pupils. This approach can help build relationships and foster a sense of belonging among pupils who may struggle with traditional group dynamics or social interactions. However, it is essential to ensure that the pebbling groups are carefully managed to avoid creating cliques or excluding other pupils.","[""There is evidence that some traditional classroom models and rigid behaviour systems\nmarginalise some neurodivergent children whose needs don't align with the norm,\nincluding those who have experienced trauma, or face social and emotional challenges\n[13, 43]. Neurodivergent children and young people can experience distress at school in a\nrange of ways, including sensory overload or anxiety, and their distress can be\nmisunderstood by educators as defiance or lack of cooperation [12]. Some\ncommunication, such as stimming, can be misunderstood in the same way. Having an\ninclusive and supportive school culture, well-developed staff knowledge of\nneurodivergence, and a focus on understanding the individual needs of the child or young\nperson, all contribute to helping educators make the crucial distinction between\ndeliberately disruptive behaviour and distress [16]. School staff can be helped to respond\neffectively and compassionately by being trained to understand neurodivergence, and to\n\ninequity starts early in life. If basic developmental needs are not met, neurodivergent\nchildren and young people may be less able to access and participate fully in our\neducation system. This inequity can have cascading life-long consequences if not\naddressed and can have a devastating impact on a person's life as well as placing\npressure on public services (with the associated strain on the economy) [1]. The\nconsequences of a failure to recognise and support neurodivergence are immense and the\nimportance of the lives of our children and young people means that urgent action is\nrequired if the government is to succeed in delivering against its five Missions.\nThe magnitude of the situation means that simply grafting a new system on top of the\nexisting overstretched system will not address the inequity [16]. Only fundamental change\nin the way education is delivered will ensure the holistic needs of all neurodivergent CYP\n\nbehaviour policies are rooted in an inclusive school culture that values\nunderstanding, acceptance and curiosity.\nAlong with their peers, neurodivergent children benefit from schools that are calm,\ninclusive, safe and secure. Any learning environment requires structure, routine and\npredictability. However, inflexible learning environments and rigid school policies can\ncreate barriers for neurodivergent children and young people, as well as some of their\nneurotypical peers, limiting their ability not only to access and benefit from the learning\nenvironment, but to be able to function within it.\nClear and robust guidance is vital to ensure policies are designed to reflect and\naccommodate the diverse needs of all children and young people, and that reasonable\nadjustments can be made. It is better for neurodivergence to be included by design,\nrather than via a patchwork of often impractical accommodations for school staff to juggle.""]",0.0,0.8530085579837318
10,Communication & Interaction,How can I help an autistic student engage in cooperative group work during Science?,"Staff may consider providing a visual schedule or checklist for the group work activity to help the autistic student understand and follow the expectations. The school can also provide additional support by pairing the autistic student with a peer who has experience working with students with autism, or by having a designated adult facilitator to oversee the group's progress. It is essential to discuss any specific needs or accommodations with the autistic student in advance to ensure their comfort and participation.","['skills and reading comprehension for autistic children and young people across school-\n45\nage groups. However, there was less evidence for improvement in engagement.\nFinnegan and Mazin (2016) found that autistic pupils benefited from structured peer\ninteraction involving shared reading, reciprocal questioning, and task monitoring. These\nstudies embedded comprehension activities into broader instructional units and often\nemployed curricula like SCORE (Share ideas, Compliment others, Offer help or\nencouragement, Recommend changes nicely, and Exercise self-control) (Vernon et al.,\n1996) to teach cooperative learning behaviours explicitly. Outcomes included increased\ncomprehension scores and unprompted question generation, although variation in\neffectiveness across individuals suggests the need for individualised planning and\nongoing adult facilitation.\nWhile further research is needed to isolate the most effective elements of peer-mediated\n\net al., 2021). While not explicitly evaluated in the autism-specific REA, task sequencing\naligns closely with the structured routines and visual schedules that are well-established\nas effective for autistic learners (Connor et al., 2023; Sing et al., 2021). These\napproaches all help create predictability and reduce demand-related stress.\nPeer-mediated instruction was another overlapping strategy. Therrien et al. (2014) found\npeer tutoring and cooperative learning approaches improved engagement and academic\nachievement for students with SEMH needs. For children and young people with\ncognition and learning needs, peer-mediated learning can also improve literacy and\nmaths outcomes (Carroll et al., 2017; Dennis et al., 2016; Kuder, 2017; Myers et al.,\n2021).\nVisual supports were also shown to be beneficial across both groups. In autism-focused\nreviews, visual schedules, pictorial task cards, graphic organisers, and colour-coded\n\n(maths, reading, spelling), behavioural outcomes (on-task behaviour and behavioural\nregulation) and social outcomes (peer interactions, active responding, and cooperation)\nusing peer-mediated strategies. These included Class-Wide Peer Tutoring (CWPT) and\nPeer-Assisted Learning Strategies (PALS) are structured, evidence-based instructional\napproaches that use peer interactions to support academic learning. Notably, the act of\ntutoring peers often led to deeper conceptual understanding, particularly in mathematics,\nwhere students needed to articulate and scaffold content for their peers (Tan, 2016).\nIn the context of autism, cooperative learning has shown effectiveness in improving\nreading comprehension, expressive language, and social interaction. Haas et al., (2020;\n2022) demonstrated that peer-mediated instruction led to improvements in academic\nskills and reading comprehension for autistic children and young people across school-\n45']",0.75,0.7850940714264724
