question_id,category,b_faith,h_faith,b_rel,h_rel,b_tone,h_tone,b_acc,h_acc,b_ground,h_ground,b_sim_ctx,h_sim_ctx,delta_faith,delta_ground,delta_acc,delta_tone,delta_rel,delta_sim_ctx,improved_core
1,Communication & Interaction,0.3333333333333333,0.8333333333333334,0.8345575189851413,0.0,4,3,4,2,3,3,0.5338772671514879,0.7366803950365234,0.5,0,-2,-1,-0.8345575189851413,0.20280312788503552,1
2,Communication & Interaction,1.0,1.0,0.6939857358837346,0.5645246569026882,5,5,5,4,4,4,0.7140103509483492,0.7678982254893243,0.0,0,-1,0,-0.12946107898104642,0.0538878745409751,0
3,Communication & Interaction,1.0,1.0,0.5155844635852859,0.762936599713854,4,5,4,4,3,3,0.499810584388397,0.5177611471915787,0.0,0,0,1,0.2473521361285681,0.017950562803181747,0
4,Communication & Interaction,0.75,0.5,0.6742801171076906,0.6469149005085056,4,4,4,4,3,4,0.4436723826088668,0.5696976070829782,-0.25,1,0,0,-0.027365216599185005,0.1260252244741114,1
5,Communication & Interaction,1.0,0.8571428571428571,0.8103746463438583,0.6690197588223392,5,4,4,4,4,4,0.6955541504318511,0.7094174977401881,-0.1428571428571429,0,0,-1,-0.14135488752151903,0.013863347308337048,0
6,Communication & Interaction,0.8,1.0,0.7598790031205379,0.7637238348652166,5,5,5,4,4,4,0.7988315997260821,0.700615337710282,0.19999999999999996,0,-1,0,0.003844831744678645,-0.09821626201580014,1
7,Communication & Interaction,1.0,1.0,0.8654017876766024,0.6947315665913886,5,5,5,4,5,4,0.68200865363241,0.6962045389532904,0.0,-1,-1,0,-0.1706702210852138,0.014195885320880341,0
8,Communication & Interaction,1.0,1.0,0.0,0.0,4,4,4,4,3,4,0.4922331812271596,0.6919107081529412,0.0,1,0,0,0.0,0.1996775269257816,1
9,Communication & Interaction,0.0,0.2,0.8530085579837318,0.7129471538137486,4,4,4,4,4,4,0.6117308458817496,0.6226941683918713,0.2,0,0,0,-0.14006140416998314,0.010963322510121665,1
10,Communication & Interaction,0.75,0.8,0.7850940714264724,0.8755557465326014,5,5,4,5,4,5,0.7034959701603365,0.8512527274055447,0.050000000000000044,1,1,0,0.09046167510612901,0.1477567572452082,1
11,Communication & Interaction,1.0,1.0,0.700777880426933,0.5777560878193578,5,5,4,4,4,4,0.7388051195873586,0.7336375169626236,0.0,0,0,0,-0.12302179260757518,-0.005167602624735035,0
12,Communication & Interaction,0.8,1.0,0.8642914343961389,0.6977116784235852,5,5,4,4,4,4,0.6157445911724476,0.647743009977568,0.19999999999999996,0,0,0,-0.1665797559725537,0.03199841880512033,1
13,Communication & Interaction,1.0,1.0,0.922749566485086,0.552117441126562,5,5,5,4,4,4,0.4454972769112552,0.6380207830138863,0.0,0,-1,0,-0.37063212535852397,0.19252350610263114,0
14,Communication & Interaction,1.0,0.5,0.888409604136588,0.8677013518104166,4,5,4,5,4,5,0.5740544297763474,0.7537901299057062,-0.5,1,1,1,-0.02070825232617135,0.1797357001293588,1
15,Communication & Interaction,1.0,0.75,0.8499980207030879,0.8304374609105022,4,5,4,4,4,4,0.5627199982886205,0.6321065801633157,-0.25,0,0,1,-0.019560559792585752,0.06938658187469515,0
16,Communication & Interaction,0.5,0.0,0.9393216325349364,0.7015464065553519,5,5,4,4,4,4,0.5320435497538051,0.6099450987956728,-0.5,0,0,0,-0.23777522597958445,0.07790154904186775,0
17,Communication & Interaction,0.6,1.0,0.8178166179518476,0.4667371974818151,5,5,4,4,4,4,0.7339391538818918,0.7244056709233639,0.4,0,0,0,-0.3510794204700325,-0.00953348295852785,1
18,Communication & Interaction,0.5,1.0,0.967539098498177,0.7326102420671291,5,4,4,4,4,4,0.7292753805960015,0.6046926329393082,0.5,0,0,-1,-0.23492885643104788,-0.1245827476566933,1
19,Communication & Interaction,1.0,0.6,0.5209474356674474,0.4286050421085754,5,5,4,4,4,4,0.5404679189322595,0.7247757061198554,-0.4,0,0,0,-0.09234239355887197,0.18430778718759588,0
20,Communication & Interaction,1.0,1.0,0.9115511307906422,0.744909566554438,5,5,5,5,5,5,0.6895534766013444,0.7114701337861293,0.0,0,0,0,-0.16664156423620424,0.02191665718478497,0
21,Communication & Interaction,1.0,1.0,0.0,0.7085155221401784,5,5,4,4,4,4,0.5460027685846729,0.5780649217273341,0.0,0,0,0,0.7085155221401784,0.032062153142661254,0
22,Communication & Interaction,1.0,0.5,0.8908868260354454,0.7104212630289224,4,4,4,4,3,4,0.6136087111223352,0.768339451894504,-0.5,1,0,0,-0.18046556300652306,0.15473074077216886,1
23,Communication & Interaction,0.8,1.0,0.0,0.7009161493333952,4,5,4,4,4,4,0.6861637400289726,0.6892573114262573,0.19999999999999996,0,0,1,0.7009161493333952,0.0030935713972847223,1
24,Communication & Interaction,0.0,1.0,0.73449054590261,0.6392189326821675,5,5,4,4,4,4,0.606920361708106,0.7225275343629227,1.0,0,0,0,-0.09527161322044253,0.11560717265481668,1
25,Communication & Interaction,1.0,1.0,0.7155913638254147,0.6723135426215913,5,5,4,4,4,4,0.5692350979598767,0.748763968842306,0.0,0,0,0,-0.0432778212038234,0.1795288708824293,0
26,Communication & Interaction,1.0,1.0,0.7670734288926647,0.7323019274485004,5,5,5,4,4,4,0.389556350555273,0.4034760480575217,0.0,0,-1,0,-0.0347715014441643,0.013919697502248696,0
27,Communication & Interaction,1.0,0.8333333333333334,0.8522221217470656,0.5688159422328328,5,4,5,4,4,4,0.6923696402625662,0.8319058598135836,-0.16666666666666663,0,-1,-1,-0.28340617951423275,0.13953621955101736,0
28,Communication & Interaction,1.0,1.0,0.8975473329452948,0.0,5,4,4,4,4,4,0.5764696285155421,0.7138489215224386,0.0,0,0,-1,-0.8975473329452948,0.13737929300689655,0
29,Communication & Interaction,0.5,0.8,0.9227852534868468,0.8703189729271809,4,5,4,5,3,5,0.6454042198397122,0.7443046521919713,0.30000000000000004,2,1,1,-0.052466280559665956,0.0989004323522591,1
30,Communication & Interaction,1.0,1.0,0.8303276574347637,0.7947175378976198,5,4,4,4,4,4,0.7057164070487949,0.7279595842588423,0.0,0,0,-1,-0.03561011953714388,0.022243177210047427,0
31,Communication & Interaction,1.0,1.0,0.952565011405618,0.7061430839860113,5,3,4,3,4,4,0.768010285112985,0.6408959393711742,0.0,0,-1,-2,-0.24642192741960667,-0.1271143457418108,0
32,Communication & Interaction,1.0,1.0,0.7115395171417854,0.6901515443399232,5,5,5,4,4,4,0.6041502342476684,0.7071765205079016,0.0,0,-1,0,-0.02138797280186222,0.10302628626023314,0
