dataset,id,category,prompt,answer_text,tone_label,tone_alignment_score,accuracy_score,grounding_score,concise_rationale
baseline,1,Communication & Interaction,What is the 10-second rule for autism and how should teachers use it?,"The 10-second rule refers to a strategy used by some individuals with autism to help manage sensory overload or anxiety. When faced with an overwhelming situation, they may need time to process and prepare before responding. Staff can use this concept by providing a brief pause of around 10 seconds before expecting a pupil with autism to respond to a question or instruction.",supportive,4,4,3,"The response provides a clear explanation of the 10-second rule and practical guidance for teachers, though it lacks some specific context from the reference material."
baseline,2,Communication & Interaction,How can I use social narratives to help an autistic child understand playground rules?,"Staff may create a visual social narrative that outlines specific playground rules and expectations for the autistic child, such as taking turns on equipment or staying within designated play areas. This can be done in collaboration with the child to ensure it is tailored to their needs and understanding. It's essential to review and update the narrative regularly to reflect changes in playground rules or routines.",supportive,5,5,4,"The response provides practical, tailored strategies for using social narratives, aligning well with the needs of autistic children and reflecting supportive professional guidance."
baseline,3,Communication & Interaction,What are the best classroom seating arrangements for students with high social anxiety?,"Staff may consider arranging seating to minimize visual distractions and promote a sense of control. This can be achieved by placing students in a quiet area or at the back of the classroom, away from windows and potential sources of noise. Additionally, providing a designated 'safe space' for students to work independently can also help alleviate anxiety.",supportive,4,4,3,"The response provides practical strategies for seating arrangements that support students with high social anxiety, though it lacks some specific references to the context provided."
baseline,4,Communication & Interaction,How do you differentiate whole-class instruction for a non-verbal student using PECS?,"Staff may use visual supports such as pictures or symbols to accompany verbal instructions during whole-class PE lessons. The PECS (Picture Communication Symbols) system can be used to create a visual schedule of activities and provide choices for the non-verbal student, allowing them to participate in decision-making processes. This approach should be tailored to the individual's communication needs and preferences.",supportive,4,4,3,"The response provides practical strategies for using PECS with a non-verbal student, maintaining a collegial tone, but lacks some specificity and grounding in the provided context."
baseline,5,Communication & Interaction,What are the indicators of 'masking' in autistic girls in a secondary school setting?,"Staff may look out for indicators such as exceptional social skills and ability to mimic neurotypical peers, which can mask underlying difficulties with social communication. Additionally, autistic girls in secondary school may exhibit high levels of anxiety or stress related to social interactions, which can be misinterpreted as shyness rather than a need for support. It is essential to note that masking can vary across individuals and contexts, so staff should remain vigilant and not make assumptions based on initial observations.",supportive,5,4,4,"The response provides practical guidance on indicators of masking in autistic girls while maintaining a collegial tone, though it could include more specific strategies for staff."
baseline,6,Communication & Interaction,How can I reduce the sensory load of a school assembly for a child with SLCN?,"To reduce the sensory load of a school assembly for a child with Speech, Language and Communication Needs (SLCN), staff may consider seating the pupil in a quieter area away from loudspeakers or at the back of the hall to minimize distractions. The school can also provide ear defenders or headphones for the pupil to wear during assemblies, allowing them to focus on the speaker without being overwhelmed by background noise. This approach should be discussed with the pupil's parents and SENCo to ensure it meets their individual needs.",supportive,5,5,4,"The response provides practical, respectful guidance tailored to the needs of a child with SLCN, with minor extrapolation from the reference context."
baseline,7,Communication & Interaction,What strategies help an autistic student manage changes in the school timetable?,"Staff may use visual timetables and schedules to help the autistic student understand and prepare for changes in the school timetable. Providing a daily or weekly routine chart can also support the student's ability to anticipate and adapt to changes, reducing anxiety and stress. It is essential to involve the student in creating and reviewing their own timetables and routines to ensure they are tailored to their individual needs.",supportive,5,5,5,"The response provides clear, practical strategies for supporting autistic students with timetable changes, aligning well with the reference context."
baseline,8,Communication & Interaction,How do I support a student who interprets metaphors and idioms literally?,"When supporting a student who interprets metaphors and idioms literally, staff may provide additional explanations of figurative language in lessons to help them understand the intended meaning. The school can also consider providing extra support or accommodations during assessments to ensure the student's responses are not penalized for literal interpretations. This approach should be tailored to the individual student's needs and learning style.",supportive,4,4,3,"The response provides practical strategies for supporting students with literal interpretations, though it lacks some specificity and direct alignment with the reference context."
baseline,9,Communication & Interaction,What is the impact of 'pebbling' on social bonding for neurodivergent pupils?,"Staff may find that 'pebbling', a strategy where small groups of peers are encouraged to engage with and support an individual pupil, can have a positive impact on social bonding for neurodivergent pupils. This approach can help build relationships and foster a sense of belonging among pupils who may struggle with traditional group dynamics or social interactions. However, it is essential to ensure that the pebbling groups are carefully managed to avoid creating cliques or excluding other pupils.",supportive,4,4,4,"The response provides practical insights on 'pebbling' while maintaining a collegial tone, though it could benefit from more specific strategies."
baseline,10,Communication & Interaction,How can I help an autistic student engage in cooperative group work during Science?,"Staff may consider providing a visual schedule or checklist for the group work activity to help the autistic student understand and follow the expectations. The school can also provide additional support by pairing the autistic student with a peer who has experience working with students with autism, or by having a designated adult facilitator to oversee the group's progress. It is essential to discuss any specific needs or accommodations with the autistic student in advance to ensure their comfort and participation.",supportive,5,4,4,"The response provides practical, collegial guidance tailored to the needs of an autistic student, with minor omissions in specificity regarding peer interactions."
baseline,11,Communication & Interaction,What are the signs of language delay vs. a social communication disorder in KS1?,"Staff may identify language delay as difficulties with vocabulary, sentence structure, and grammar that are consistent with their age and developmental stage. A social communication disorder, on the other hand, is characterized by challenges with initiating or maintaining conversations, understanding nonverbal cues, and interpreting tone of voice, which can be present alongside typical language skills. It's essential to note that some children may exhibit both language delay and social communication difficulties, requiring a comprehensive assessment to determine the most appropriate support.",supportive,5,4,4,"The response provides clear, collegial guidance on distinguishing language delay from social communication disorders, with minor omissions in detail."
baseline,12,Communication & Interaction,How do I implement a 'visual schedule' for a student who struggles with transitions?,"To implement a visual schedule for a student who struggles with transitions, staff can create a clear and concise visual representation of the daily routine or specific tasks to be completed. This can include pictures or icons representing each activity, such as ""breakfast"", ""maths lesson"", or ""recess"". The visual schedule should be displayed prominently in the classroom or near the student's workstation to provide a constant reminder of what is expected and when.",supportive,5,4,4,"The response provides practical, collegial guidance on implementing a visual schedule, though it could include more specific strategies related to the context provided."
baseline,13,Communication & Interaction,What is the difference between an autistic meltdown and a behavioral tantrum in a classroom?,"Staff may struggle to distinguish between an autistic meltdown and a behavioral tantrum, but it is essential to understand that these two behaviors have distinct underlying causes. An autistic meltdown is a physiological response to overwhelming sensory or emotional stimuli, often resulting in a loss of communication skills and ability to regulate behavior, whereas a behavioral tantrum is typically a deliberate attempt by the pupil to manipulate others or avoid an unpleasant situation. It's worth noting that some pupils may exhibit both behaviors, but understanding their underlying causes can inform more effective support strategies.",supportive,5,5,4,"The response provides a clear, respectful distinction between an autistic meltdown and a behavioral tantrum, offering useful insights for practitioners while remaining grounded in relevant context."
baseline,14,Communication & Interaction,How can teachers encourage peer-to-peer interaction for students with Selective Mutism?,"Teachers may encourage peer-to-peer interaction for students with Selective Mutism by gradually introducing them to group activities and social situations in a calm and controlled manner. This can be achieved by starting small, such as having the student sit near their peers during lessons or breaks, and then gradually increasing their involvement over time. It's essential to remember that some students with Selective Mutism may require additional support and accommodations to feel comfortable participating in group interactions.",supportive,4,4,4,"The response provides practical strategies for encouraging peer interaction while maintaining a supportive tone, though it could include more specific peer-mediated strategies from the context."
baseline,15,Communication & Interaction,What are effective ways to teach turn-taking to a child with social communication needs?,"Staff may use visual aids such as pictures or symbols to help the child understand and remember the concept of turn-taking. The school can also establish a daily routine that incorporates opportunities for the child to practice taking turns in small group activities, such as sharing toys or participating in discussions. It is essential to provide clear verbal cues and reminders to support the child's understanding and participation.",supportive,4,4,4,"The response provides practical strategies for teaching turn-taking while maintaining a collegial tone, though it could include more specific details from the context."
baseline,16,Communication & Interaction,How do I explain an autism diagnosis to other children in a mainstream class?,"When explaining an autism diagnosis to other children in a mainstream class, staff may use simple and clear language to help them understand. They can say something like, ""Timmy has autism, which means he might see things or hear sounds differently than you do."" This explanation aims to promote acceptance and understanding by focusing on the individual's experiences rather than making assumptions about their abilities. Caveat: It is essential to consider the child's age and maturity level when explaining a diagnosis, and to be prepared for follow-up questions and discussions.",supportive,5,4,4,"The response provides clear, respectful guidance tailored to the context of explaining an autism diagnosis, though it could include more specific strategies for follow-up discussions."
baseline,17,Communication & Interaction,What role do 'sensory breaks' play in improving communication for autistic learners?,"Staff may use sensory breaks to help autistic learners regulate their senses and reduce anxiety, which can improve their ability to communicate effectively. By providing regular opportunities for movement and sensory exploration, staff can support pupils in managing overwhelming stimuli and increasing focus on communication tasks. However, it is essential to consider individual pupil needs and preferences when implementing sensory breaks.",supportive,5,4,4,"The response provides practical guidance on sensory breaks while remaining collegial and mostly aligned with the context, though it could include more specific strategies."
baseline,18,Communication & Interaction,How can I adapt a drama lesson for a student with significant speech sound difficulties?,"To adapt a drama lesson for a student with significant speech sound difficulties, staff may consider using visual aids such as pictures or symbols to support communication and expression. The school can also provide alternative methods of participation, such as writing down ideas or using a communication device, to ensure the pupil's contributions are valued and included in the lesson. This approach will help to reduce anxiety and allow the pupil to engage fully with the drama activities.",supportive,5,4,4,"The response provides practical, collegial guidance tailored to the needs of a student with speech sound difficulties, though it could include more specific strategies from the reference context."
baseline,19,Communication & Interaction,What are the best low-tech communication aids for a classroom?,"Staff may consider using visual timetables to help pupils with understanding daily routines and schedules. Picture communication symbols (PCS) or simple images can be used on whiteboards or displayed around the classroom to support pupil communication. The school can also provide a 'communication book' for each pupil, where they can draw pictures or write short messages to communicate their needs.",supportive,5,4,4,"The response provides practical, collegial advice on low-tech communication aids while remaining respectful and relevant to the context of UK SEND education."
baseline,20,Communication & Interaction,How can I support a student who struggles to follow multi-step verbal instructions?,"To support a student who struggles to follow multi-step verbal instructions, staff may provide written instructions or visual aids to supplement verbal explanations. Breaking down complex tasks into smaller, more manageable steps can also help reduce cognitive overload and improve understanding. It's essential to consider the individual pupil's learning style and adapt instruction accordingly.",supportive,5,5,5,"The response provides practical, specific strategies for supporting students with multi-step verbal instructions, aligning well with the reference context."
baseline,21,Communication & Interaction,What strategies help students with 'Pathological Demand Avoidance' (PDA) engage with tasks?,"Staff may use visual timetables and schedules to provide a clear structure for the day, helping students with PDA feel more in control. Offering choices within tasks can also be beneficial, allowing students to have some autonomy over their learning and reducing anxiety related to demands. It is essential to note that each student's needs will vary, so it may take time to develop an understanding of what strategies work best for individual pupils.",supportive,5,4,4,"The response provides practical strategies in a collegial tone, though it could benefit from more specific examples related to PDA."
