dataset,id,category,prompt,ai_response,answer_text,reference_context,sim_answer_question,sim_answer_context,drift_q,drift_ctx,pc1,pc2,pc3,cluster
baseline,1,Communication & Interaction,What is the 10-second rule for autism and how should teachers use it?,"Answer: The 10-second rule refers to a strategy used by some individuals with autism to help manage sensory overload or anxiety. When faced with an overwhelming situation, they may need time to process and prepare before responding. Staff can use this concept by providing a brief pause of around 10 seconds before expecting a pupil with autism to respond to a question or instruction.","The 10-second rule refers to a strategy used by some individuals with autism to help manage sensory overload or anxiety. When faced with an overwhelming situation, they may need time to process and prepare before responding. Staff can use this concept by providing a brief pause of around 10 seconds before expecting a pupil with autism to respond to a question or instruction.","autistic children and young people in mainstream education.
Consistent with NICE guidance, the evidence supports a collaborative, multidisciplinary
approach to identification, incorporating input from teachers, families, and the young
person. While some tools can be used by educators to screen for potential needs,
particularly in areas such as participation, communication, and emotional wellbeing,
many require specialist interpretation and have limited validation for use in classrooms.
Mainstream teachers play a critical early role in recognising potential signs of autism and
contributing essential observational insights. However, the variability in tool quality and
the lack of comparative research between specialist- and teacher-led use underscores
the need for cautious application and further empirical study. Digital tools and structured
behavioural observation methods offer promise, particularly for broader access and early

Evidence supports the effectiveness of adapted phonological interventions for
individuals using augmentative and alternative communication
43
Support and intervention summary
Our review identified a total of 69 systematic reviews dedicated to the support and
intervention strategies that mainstream educators can use to support educational
outcomes for autistic children and young people.
High-quality teaching for autistic children and young people should promote an inclusive
classroom with structured instructional strategies and visual supports. There are a range
of instructional strategies shown to be effective for children and young people with
autism. Approaches such as Discrete Trial Training (DTT), Direct Instruction, and Explicit
Instruction are effective in developing academic and functional skills by breaking tasks
into manageable steps, using clear prompts, and providing positive reinforcement.

with all, and focus on getting back on track/
Use a fresh start principle to encourage a warm
task completion
welcome to each new session every day
Staff are vigilant to perceived injustice and
Check use of voice, gesture and body language
clearly explain how matters will be addressed
Consistently implement an agreed positive
and resolved
behaviour support plan (sometimes called a
Seating plans and classroom layout adjusted to
positive relationship plan) Positive Behaviour
meet sensory, attention, social and emotional
Support plan
needs, e.g. are they better placed near to the
Ensure enhanced transition planning into
teacher, which peers should they sit with?
school or the next setting is supported and
Interspersing of non-preferred and preferred
implemented
tasks
For children with autism use Oxfordshire's
Use buddies and peer mentors for support and
SCERTs in Action - a framework that supports
modelling
assessment and planning for children with
autism. SCERTS = social communication",0.9003341146025532,0.5338772671514879,0.09966588539744681,0.46612273284851213,-1.0135719114857165,5.580251340218444,-7.779461151393465,1
baseline,2,Communication & Interaction,How can I use social narratives to help an autistic child understand playground rules?,"Answer: Staff may create a visual social narrative that outlines specific playground rules and expectations for the autistic child, such as taking turns on equipment or staying within designated play areas. This can be done in collaboration with the child to ensure it is tailored to their needs and understanding. It's essential to review and update the narrative regularly to reflect changes in playground rules or routines.","Staff may create a visual social narrative that outlines specific playground rules and expectations for the autistic child, such as taking turns on equipment or staying within designated play areas. This can be done in collaboration with the child to ensure it is tailored to their needs and understanding. It's essential to review and update the narrative regularly to reflect changes in playground rules or routines.","teaching assistant use.
Effective oral narrative support strategies summary
Narrative interventions are generally effective particularly when they are delivered
one-to-one but can also be scalable
Syntax interventions also have a growing evidence base
40
Social communication support
Children with different speech, language, and communication needs may also struggle
with social communication skills. Interventions targeting social communication skills
typically aim at addressing turn-taking, listening, conversational strategies, pragmatics,
and emotion recognition, amongst other skills. However, much of the research
investigating social communication have focussed on autistic children and young people
with limited evidence for children who are not autistic.
Carroll et al.'s (2017) rapid evidence assessment reviews a number of social
communication interventions. They review evidence that suggests that interventions

A range of inclusive instructional strategies and classroom design approaches can
support autistic children and young people at this first tier. The approaches identified in
our REA include instructional techniques and adjustments to the physical or social
environment.
Instructional strategies
Educators of autistic students can employ a range of evidence-based teaching and
instructional strategies that support learning across subjects. Many of these approaches
share common principles: they provide structure, break tasks into manageable steps, use
30
clear prompts or cues, explicit instruction, and praise and reward. For instance, Discrete
Trial Training (DTT) is a well-established structured approach (Curiel et al., 2020). In
DTT, a skill (academic or functional) is broken down into small sub-skills which are taught
in repeated trials with prompts and rewards for correct responses.
Response prompting strategies where support is provided to encourage correct

young people with language and processing needs and physical disabilities, as well as
those with high needs (e.g., children who are non-verbal and/or with social, emotional
and mental health needs).
USS had improved some diarists' knowledge of how autistic children and young people
process social cues and respond to the emotional reactions of others. For example, a
diarist in a support role described how the nasen Online CPD Unit on Speech, Language
and Communication Needs assisted in building a stronger relationship with a student.
USS has helped me support a child with autism. They can exhibit
challenging behaviour, when they struggle to communicate with others
and they get frustrated and lash out. The child really likes crafting
activities, so we made emotion cards. We spent around half an hour on
this, although lots of time was spent chatting, which gave me a chance to
get to know more about their interests, to tailor future sessions. Diarist -
Support staff, Primary setting",0.8541322891343519,0.7140103509483492,0.1458677108656481,0.2859896490516508,-2.7642928534496543,11.323090507487999,-7.153702382025992,1
baseline,3,Communication & Interaction,What are the best classroom seating arrangements for students with high social anxiety?,"Answer: Staff may consider arranging seating to minimize visual distractions and promote a sense of control. This can be achieved by placing students in a quiet area or at the back of the classroom, away from windows and potential sources of noise. Additionally, providing a designated 'safe space' for students to work independently can also help alleviate anxiety.","Staff may consider arranging seating to minimize visual distractions and promote a sense of control. This can be achieved by placing students in a quiet area or at the back of the classroom, away from windows and potential sources of noise. Additionally, providing a designated 'safe space' for students to work independently can also help alleviate anxiety.","effective when led by teachers, especially in secondary settings.
Targeted approaches for classroom behaviour and general attainment summary
Multi-component interventions including study and organisation skills with social or
behavioural support such as self-monitoring or social skills training
Daily report cards
Exam support for children and young people with ADHD
Students with SEMH needs may be eligible to receive exam access arrangements (JCQ,
2024). Common exam access arrangements for students with different types of SEND
are 25%-50% extra time to complete an exam, a reader (human or pen reader), prompts,
or small-group/individual invigilation. Although the assessment and application process
for access arrangements is typically managed by the SENCo or an access arrangements
coordinator, teachers play a crucial role in identifying students who may require support
and in implementing access arrangements as part of everyday classroom practice (e.g.,

and in implementing access arrangements as part of everyday classroom practice (e.g.,
Antalek et al., 2025). Thus, it can be useful to understand which access arrangements
work for different types of needs, and how they might be best implemented. One
systematic review (Lovett & Nelson, 2021) examined the available evidence on the
effectiveness of commonly used accommodations for children and young people with
ADHD.
Overall, findings demonstrate that there is not one single universal accommodation that
works for all children and young people with ADHD, and an accommodation does not
guarantee a better exam outcome. In their review, Lovett and Nelson (2021) found that
extra time accommodations may have weak evidence of effectiveness, because it does
not consistently improve performance for students with ADHD more than for their peers
43
without ADHD. However, having a human reader for the test or exam questions has

2017). Predictable routines, accessible resources, and well organised learning spaces
support focus and reduce anxiety. Visual supports such as word walls, visual timetables,
and learning goals help students anticipate tasks and maintain engagement. For students
41
with sensory processing differences, such as those with autism, ADHD, or hearing loss,
classrooms can often be noisy and overstimulating, making it difficult to concentrate or
self-regulate (Mansfield and Soni, 2024; Todorov et al., 2022). Simple environmental
modifications, including soft furnishings, acoustic adjustments, and reduction of visual
clutter, can significantly improve learning conditions (Archbold, 2010; Swanwick and
Marschark, 2010).
The MATCH framework (Missiuna, 2004) offers a useful guide for inclusive adaptations:
modifying the task, altering expectations, teaching specific strategies, changing the
environment, and helping through understanding. These principles reinforce the",0.665380787407625,0.499810584388397,0.33461921259237504,0.500189415611603,-3.7836333477938853,-15.903353870192074,3.3712570288006436,0
baseline,4,Communication & Interaction,How do you differentiate whole-class instruction for a non-verbal student using PECS?,"Answer: Staff may use visual supports such as pictures or symbols to accompany verbal instructions during whole-class PE lessons. The PECS (Picture Communication Symbols) system can be used to create a visual schedule of activities and provide choices for the non-verbal student, allowing them to participate in decision-making processes. This approach should be tailored to the individual's communication needs and preferences.","Staff may use visual supports such as pictures or symbols to accompany verbal instructions during whole-class PE lessons. The PECS (Picture Communication Symbols) system can be used to create a visual schedule of activities and provide choices for the non-verbal student, allowing them to participate in decision-making processes. This approach should be tailored to the individual's communication needs and preferences.","These techniques include explicit instruction, peer-assisted learning, scaffolding, the use
of mnemonics (especially for learning key facts), task-sequencing, and metacognitive
approaches.
Research indicates that whole-class high-quality phonics instruction benefits children with
or at risk of literacy difficulties when it is systematic, explicit, and delivered by trained
teachers (Castles et al., 2018). Previous meta-analyses (e.g., Ehri et al., 2001; National
Reading Panel, 2000) show that systematic phonics improves decoding and word
reading for all children, with particularly strong effects for struggling readers when
37
instruction includes ample practice, scaffolded feedback, and opportunities to apply skills
in connected text. One systematic review included in our REA by Alqurani and Rao
(2020) analysed single-subject design studies of reading interventions for children aged 6
to 15 and found that sight-word recognition could be improved through a two-part phonics

Pedagogical approaches for pupils with special
educational needs and/or disabilities
The general principles from research into effective teaching outlined in this
review are just as relevant for pupils with special educational needs and/or
disabilities (SEND), whether learning English or any other subject.
Research shows that pupils with SEND do not generally benefit from
differentiated teaching, activities or resources to achieve a curriculum goal.
[footnote 227]
Differentiation is not the same as targeted teaching to break
https://www.gov.uk/government/publications/curicuum-research-review-series-english/curriculum-research-review-series-english
36/81
4/11/26, 4:05 PM
Research review series: English - GOV.UK
down or reinforce aspects of the curriculum, for example repetition of
important phonic knowledge.
Teachers may attribute weaknesses in reading to a pupil having dyslexia
rather than having gaps in their phonic knowledge. This can also lead to

to 15 and found that sight-word recognition could be improved through a two-part phonics
instruction sequence using direct instruction approach, sight words with connected text,
and direct instruction flashcards system. These studies also focused on supporting
phonological awareness, phonics, and vocabulary as part of instruction.
Vocabulary can also be supported at the whole-class level through effective instructional
approaches. One systematic review (Kuder, 2017) compared several different instruction
methods to support vocabulary for children aged 11 to 18 and found that the most
effective methods were mnemonic instruction, morphemic analysis strategies, direct
instruction, and multimedia instruction. Peer-mediated approaches also showed positive
effects, though their impact couldn't be isolated from the instructional methods used.
Explicit vocabulary instruction can also improve comprehension of content-specific",0.6760020062804817,0.4436723826088668,0.3239979937195183,0.5563276173911331,7.143015739319676,0.5325813497508213,4.281787633949767,2
baseline,5,Communication & Interaction,What are the indicators of 'masking' in autistic girls in a secondary school setting?,"Answer: Staff may look out for indicators such as exceptional social skills and ability to mimic neurotypical peers, which can mask underlying difficulties with social communication. Additionally, autistic girls in secondary school may exhibit high levels of anxiety or stress related to social interactions, which can be misinterpreted as shyness rather than a need for support. It is essential to note that masking can vary across individuals and contexts, so staff should remain vigilant and not make assumptions based on initial observations.","Staff may look out for indicators such as exceptional social skills and ability to mimic neurotypical peers, which can mask underlying difficulties with social communication. Additionally, autistic girls in secondary school may exhibit high levels of anxiety or stress related to social interactions, which can be misinterpreted as shyness rather than a need for support. It is essential to note that masking can vary across individuals and contexts, so staff should remain vigilant and not make assumptions based on initial observations.","other studies report equal rates of prevalence between males and females (Matheis et
al., 2019). This suggests that autistic girls may be under-recognised. While the reasons
for this are not clear, a few reasons for this have been proposed including genetic and
neurobiological differences (Jacquemont et al., 2014), bias in diagnostic criteria (e.g.,
diagnostic criteria may be based more on male presentations) (Lai et al., 2015), and the
possible higher prevalence of camouflaging or masking of autistic traits in females (Hull
et al., 2020).
As a result, the diagnostic process often follows a two-step approach. First, there is some
'surveillance' or ongoing monitoring of behaviours followed by a more formal screening
process using standardised tools to identify children who may be at risk. Second, if
concerns remain after screening, a more in-depth assessment is carried out using
diagnostic tools that are more detailed and often require input from a multidisciplinary

education staff working together in schools to assess children suspected to be autistic.
Early findings from the pilot are positive, with children being identified and getting support
earlier. As part of this work, we are monitoring indicators of prevalence of autism in girls as
current assessment and diagnostic approaches identify a higher proportion of boys than
girls as autistic. We want to test whether novel approaches can improve identification and
will include this within our evaluation of the programme.
To monitor our progress on reducing waiting times, we will continue to collect and improve
data on autism diagnosis waiting times and identify areas that are not meeting the NICE-
recommended 13 weeks between referral and assessment (Autism waiting times statistics,
NHS Digital). In addition, we are developing an action plan with NHSE/I and NHS Digital to
enable us to report on diagnostic waiting times for children and young people. Current data

things literally, and not understanding abstract concepts. Social communication
difficulties are often early indicators of autism. For example, difficulties in joint attention
(i.e., the ability to show interest or share a focus of attention and follow gaze) is generally
a strong indicator of autism. There may be inappropriate responses or misinterpretations
in communication and a limited use of social smiles or gestures. The second criteria are
restrictive and repetitive patterns of behaviour (e.g., such as repetitive movements or
speech, insistence on sameness, intense fixated interests, or unusual responses to
sensory input).
The profile of autism is highly heterogeneous, with the type and severity of needs varying
considerably between individuals. For example, some autistic children and young people
may have difficulties with verbal communication, while others may have good oral
communication and language skills, but poor social communication. Further, many
8",0.8606655205606755,0.6955541504318511,0.13933447943932453,0.3044458495681489,-8.511289156346521,12.327086495717785,-9.157676794323162,1
baseline,6,Communication & Interaction,How can I reduce the sensory load of a school assembly for a child with SLCN?,"Answer: To reduce the sensory load of a school assembly for a child with Speech, Language and Communication Needs (SLCN), staff may consider seating the pupil in a quieter area away from loudspeakers or at the back of the hall to minimize distractions. The school can also provide ear defenders or headphones for the pupil to wear during assemblies, allowing them to focus on the speaker without being overwhelmed by background noise. This approach should be discussed with the pupil's parents and SENCo to ensure it meets their individual needs.","To reduce the sensory load of a school assembly for a child with Speech, Language and Communication Needs (SLCN), staff may consider seating the pupil in a quieter area away from loudspeakers or at the back of the hall to minimize distractions. The school can also provide ear defenders or headphones for the pupil to wear during assemblies, allowing them to focus on the speaker without being overwhelmed by background noise. This approach should be discussed with the pupil's parents and SENCo to ensure it meets their individual needs.","(Snowling et al., 2011) and can enhance learning (Mercer et al., 2009).
One approach that promotes effective communication especially in the early years
(reception through year 2) is the Communication Supporting Classrooms Observation
Tool (CSCOT) from the Better Communication Research Programme (Lindsay et al.,
2012). The CSCOT is an audit tool designed to document the language and
communication opportunities afforded by the learning environment. This tool consists of
33
several checklists to help educators consider the quality and quantity of the language
learning environment, learning opportunities, and interactions.
Similar to instructional approaches, reducing the load of sensory information and
processing demands is helpful for children and young people with SLCN (Carroll et al.,
2017). Classrooms and school environments can be highly stimulating and overwhelming
for pupils with different types of SEND including SLCN. For example, in a randomised

for pupils with different types of SEND including SLCN. For example, in a randomised
controlled trial, Dockrell and Sheild (2006) found that speed of processing for children
and young people with SEND can be negatively impacted by background babble and
external noises such as sirens or lorries. Therefore, minimising background noise and
even considering acoustic panelling can help support learning.
Considerations for supportive classroom environments summary
Fostering a rich oral language environment
CSCOT audit tool to help identify areas of classroom or early years setting
improvement
Minimising cognitive load
Reducing background noise where possible
Collaborative practices
If an outside referral to speech and language has been made, the question of who is
responsible in the classroom for supporting the learners' needs with SLCN (Vivash et al.,
2018) may arise. The evidence base is heavily comprised of studies focusing on

the physical or social environment.
Instructional approaches
Academic difficulties among children and young people with SLCN needs may stem from
underlying challenges with language, but also from executive functions, including
attention, working memory, planning, and organisation (for a review of executive
functions see our Cross-Cutting Themes Report). For example, tasks that require flexible
thinking, cognitive control, or adapting to changing rules or instructions, especially under
demanding or complex task conditions can be challenging for children and young people
with SLCN. These difficulties may underlie both academic and behavioural challenges.
Given the challenges children and young people with SLCN may have with executive
functions, it is important to use instructional strategies that support more cognitively
demanding learning tasks and reduce cognitive load.
Techniques that provide structure, break tasks into manageable steps, use clear",0.7363665195875941,0.7988315997260821,0.26363348041240586,0.2011684002739179,1.9870098329310404,-6.61819219390328,-10.137504429798526,0
baseline,7,Communication & Interaction,What strategies help an autistic student manage changes in the school timetable?,"Answer: Staff may use visual timetables and schedules to help the autistic student understand and prepare for changes in the school timetable. Providing a daily or weekly routine chart can also support the student's ability to anticipate and adapt to changes, reducing anxiety and stress. It is essential to involve the student in creating and reviewing their own timetables and routines to ensure they are tailored to their individual needs.","Staff may use visual timetables and schedules to help the autistic student understand and prepare for changes in the school timetable. Providing a daily or weekly routine chart can also support the student's ability to anticipate and adapt to changes, reducing anxiety and stress. It is essential to involve the student in creating and reviewing their own timetables and routines to ensure they are tailored to their individual needs.","A range of inclusive instructional strategies and classroom design approaches can
support autistic children and young people at this first tier. The approaches identified in
our REA include instructional techniques and adjustments to the physical or social
environment.
Instructional strategies
Educators of autistic students can employ a range of evidence-based teaching and
instructional strategies that support learning across subjects. Many of these approaches
share common principles: they provide structure, break tasks into manageable steps, use
30
clear prompts or cues, explicit instruction, and praise and reward. For instance, Discrete
Trial Training (DTT) is a well-established structured approach (Curiel et al., 2020). In
DTT, a skill (academic or functional) is broken down into small sub-skills which are taught
in repeated trials with prompts and rewards for correct responses.
Response prompting strategies where support is provided to encourage correct

Evidence supports the effectiveness of adapted phonological interventions for
individuals using augmentative and alternative communication
43
Support and intervention summary
Our review identified a total of 69 systematic reviews dedicated to the support and
intervention strategies that mainstream educators can use to support educational
outcomes for autistic children and young people.
High-quality teaching for autistic children and young people should promote an inclusive
classroom with structured instructional strategies and visual supports. There are a range
of instructional strategies shown to be effective for children and young people with
autism. Approaches such as Discrete Trial Training (DTT), Direct Instruction, and Explicit
Instruction are effective in developing academic and functional skills by breaking tasks
into manageable steps, using clear prompts, and providing positive reinforcement.

interfere with concentration. They may also struggle with multi-step instructions and find
transitions between tasks particularly difficult (Wild & Steeley, 2018).
Autistic individuals often have differences in attention, exploring interests and how they
learn; this can include being very focused on particular interests or topics. Flexibility and
transitions can be difficult, so by providing routines and structure, they often feel safer
and more comfortable as this lessens uncertainty (Autism Education Trust, 2025).
Targeted support for autistic children and young people
Improving academic outcomes for autistic students often requires explicit, individualised
strategies. In this section we review several findings that address targeted support
techniques for autistic children and young people. Although many of these approaches
are targeted to the individual needs of the students, many can also be implemented in",0.828132919991378,0.68200865363241,0.17186708000862205,0.31799134636758997,-2.846116539646848,3.2868499042883954,-3.991806218080306,1
baseline,8,Communication & Interaction,How do I support a student who interprets metaphors and idioms literally?,"Answer: When supporting a student who interprets metaphors and idioms literally, staff may provide additional explanations of figurative language in lessons to help them understand the intended meaning. The school can also consider providing extra support or accommodations during assessments to ensure the student's responses are not penalized for literal interpretations. This approach should be tailored to the individual student's needs and learning style.","When supporting a student who interprets metaphors and idioms literally, staff may provide additional explanations of figurative language in lessons to help them understand the intended meaning. The school can also consider providing extra support or accommodations during assessments to ensure the student's responses are not penalized for literal interpretations. This approach should be tailored to the individual student's needs and learning style.","about the unfamiliar nature of the task and it is
early on. Failure to correct these could lead to
often possible to support the student by saying
these misconceptions enduring and hampering
something like, ""Copy out that table, and I'll be
later understanding SO teachers may opt to
back in five minutes to help you fill it in."" This
intervene earlier.
is usually all the support the student needs.
Copying out the table forces the student to look
in detail at how the table is laid out and this
busy-work can provide time for the student to
make sense of the task itself'. 45
en
F
These suggestions offer a prompt of what to
Given the ambiguity in the
consider when thinking about when to give feedback.
Given the ambiguity in the evidence, they serve to
evidence, the timing of feedback
underline the crucial importance of in-the-moment
should be left to the careful
teacher judgement-a key component of a teacher's
professional skill-over policies that predetermine
judgement of the classroom

reading a range of texts aloud to the class, explicitly teaching and modelling the reading
comprehension strategies that support children to make inferences, for example, clarifying the
vocabulary which indicates the setting: ""I'm not sure what a pier is, I'm going to annotate that and check"";
working to support vocabulary acquisition, both in terms of depth and breadth
(see Recommendation 1, Figure 3: Ensuring breadth and depth of vocabulary teaching);
working with parents to support how they read with children at home, for example, running an online
information session about the questions you might ask when reading with children; and
planning targeted support for pupils who are particularly struggling. Whilst class teaching is the most
important lever Mr Latif has, he also recognises the importance of small group tuition. Having identified
pupils who are particularly struggling with inferencing using the assessment, Mr Latif and the class's

and its forms over time. Alternatively, a thematic approach might be chosen
that weaves the threads of metaphor, story, argument, pattern, grammar
and context as enablers of disciplinary considerations for pupils learning
literature. Didau does not argue for any one of the models above but
suggests that coherent text choices will allow pupils to appreciate past
literature.
Studying complex and whole texts
Studying one substantial complex text can do a lot of curricular 'heavy
lifting'. It can support pupils to develop and use knowledge across the
categories detailed in this section. A text like this might use a complex
narrative viewpoint to tell a story, and explore multiple or sophisticated
themes. It might also contain allusions, cultural references and intertextual
links.
In some circumstances, carefully chosen extracts from literary texts can
have a purpose in the curriculum. However, there is research that suggests",0.7932037713610425,0.4922331812271596,0.20679622863895752,0.5077668187728404,2.5304926396475085,4.321767414541013,7.149674486615244,2
baseline,9,Communication & Interaction,What is the impact of 'pebbling' on social bonding for neurodivergent pupils?,"Answer: Staff may find that 'pebbling', a strategy where small groups of peers are encouraged to engage with and support an individual pupil, can have a positive impact on social bonding for neurodivergent pupils. This approach can help build relationships and foster a sense of belonging among pupils who may struggle with traditional group dynamics or social interactions. However, it is essential to ensure that the pebbling groups are carefully managed to avoid creating cliques or excluding other pupils.","Staff may find that 'pebbling', a strategy where small groups of peers are encouraged to engage with and support an individual pupil, can have a positive impact on social bonding for neurodivergent pupils. This approach can help build relationships and foster a sense of belonging among pupils who may struggle with traditional group dynamics or social interactions. However, it is essential to ensure that the pebbling groups are carefully managed to avoid creating cliques or excluding other pupils.","There is evidence that some traditional classroom models and rigid behaviour systems
marginalise some neurodivergent children whose needs don't align with the norm,
including those who have experienced trauma, or face social and emotional challenges
[13, 43]. Neurodivergent children and young people can experience distress at school in a
range of ways, including sensory overload or anxiety, and their distress can be
misunderstood by educators as defiance or lack of cooperation [12]. Some
communication, such as stimming, can be misunderstood in the same way. Having an
inclusive and supportive school culture, well-developed staff knowledge of
neurodivergence, and a focus on understanding the individual needs of the child or young
person, all contribute to helping educators make the crucial distinction between
deliberately disruptive behaviour and distress [16]. School staff can be helped to respond
effectively and compassionately by being trained to understand neurodivergence, and to

inequity starts early in life. If basic developmental needs are not met, neurodivergent
children and young people may be less able to access and participate fully in our
education system. This inequity can have cascading life-long consequences if not
addressed and can have a devastating impact on a person's life as well as placing
pressure on public services (with the associated strain on the economy) [1]. The
consequences of a failure to recognise and support neurodivergence are immense and the
importance of the lives of our children and young people means that urgent action is
required if the government is to succeed in delivering against its five Missions.
The magnitude of the situation means that simply grafting a new system on top of the
existing overstretched system will not address the inequity [16]. Only fundamental change
in the way education is delivered will ensure the holistic needs of all neurodivergent CYP

behaviour policies are rooted in an inclusive school culture that values
understanding, acceptance and curiosity.
Along with their peers, neurodivergent children benefit from schools that are calm,
inclusive, safe and secure. Any learning environment requires structure, routine and
predictability. However, inflexible learning environments and rigid school policies can
create barriers for neurodivergent children and young people, as well as some of their
neurotypical peers, limiting their ability not only to access and benefit from the learning
environment, but to be able to function within it.
Clear and robust guidance is vital to ensure policies are designed to reflect and
accommodate the diverse needs of all children and young people, and that reasonable
adjustments can be made. It is better for neurodivergence to be included by design,
rather than via a patchwork of often impractical accommodations for school staff to juggle.",0.8553989698214742,0.6117308458817496,0.14460103017852577,0.38826915411825036,-8.496343334245404,1.8678170741519857,1.2571841817202902,5
baseline,10,Communication & Interaction,How can I help an autistic student engage in cooperative group work during Science?,"Answer: Staff may consider providing a visual schedule or checklist for the group work activity to help the autistic student understand and follow the expectations. The school can also provide additional support by pairing the autistic student with a peer who has experience working with students with autism, or by having a designated adult facilitator to oversee the group's progress. It is essential to discuss any specific needs or accommodations with the autistic student in advance to ensure their comfort and participation.","Staff may consider providing a visual schedule or checklist for the group work activity to help the autistic student understand and follow the expectations. The school can also provide additional support by pairing the autistic student with a peer who has experience working with students with autism, or by having a designated adult facilitator to oversee the group's progress. It is essential to discuss any specific needs or accommodations with the autistic student in advance to ensure their comfort and participation.","skills and reading comprehension for autistic children and young people across school-
45
age groups. However, there was less evidence for improvement in engagement.
Finnegan and Mazin (2016) found that autistic pupils benefited from structured peer
interaction involving shared reading, reciprocal questioning, and task monitoring. These
studies embedded comprehension activities into broader instructional units and often
employed curricula like SCORE (Share ideas, Compliment others, Offer help or
encouragement, Recommend changes nicely, and Exercise self-control) (Vernon et al.,
1996) to teach cooperative learning behaviours explicitly. Outcomes included increased
comprehension scores and unprompted question generation, although variation in
effectiveness across individuals suggests the need for individualised planning and
ongoing adult facilitation.
While further research is needed to isolate the most effective elements of peer-mediated

et al., 2021). While not explicitly evaluated in the autism-specific REA, task sequencing
aligns closely with the structured routines and visual schedules that are well-established
as effective for autistic learners (Connor et al., 2023; Sing et al., 2021). These
approaches all help create predictability and reduce demand-related stress.
Peer-mediated instruction was another overlapping strategy. Therrien et al. (2014) found
peer tutoring and cooperative learning approaches improved engagement and academic
achievement for students with SEMH needs. For children and young people with
cognition and learning needs, peer-mediated learning can also improve literacy and
maths outcomes (Carroll et al., 2017; Dennis et al., 2016; Kuder, 2017; Myers et al.,
2021).
Visual supports were also shown to be beneficial across both groups. In autism-focused
reviews, visual schedules, pictorial task cards, graphic organisers, and colour-coded

(maths, reading, spelling), behavioural outcomes (on-task behaviour and behavioural
regulation) and social outcomes (peer interactions, active responding, and cooperation)
using peer-mediated strategies. These included Class-Wide Peer Tutoring (CWPT) and
Peer-Assisted Learning Strategies (PALS) are structured, evidence-based instructional
approaches that use peer interactions to support academic learning. Notably, the act of
tutoring peers often led to deeper conceptual understanding, particularly in mathematics,
where students needed to articulate and scaffold content for their peers (Tan, 2016).
In the context of autism, cooperative learning has shown effectiveness in improving
reading comprehension, expressive language, and social interaction. Haas et al., (2020;
2022) demonstrated that peer-mediated instruction led to improvements in academic
skills and reading comprehension for autistic children and young people across school-
45",0.7823072588117,0.7034959701603365,0.21769274118829995,0.2965040298396635,-2.264378936108475,8.948044628079947,-7.329805748543031,1
